wavelength_um,mirror_reflectance,sol_best_emitter_emissivity,planck_1300K_w_m2_um
18.5799,0.97525252,0.66745757,207.54042
18.6667,0.97456841,0.66525577,204.01884
18.7534,0.97379112,0.66308589,200.57141
18.8402,0.97291473,0.66094747,197.19625
18.9269,0.97193239,0.65884007,193.89156
19.0137,0.97083634,0.65676323,190.6556
19.1005,0.96961779,0.6547165,187.48666
19.1872,0.96826698,0.65269944,184.38309
19.274,0.96677315,0.65071159,181.34328
19.3607,0.96512452,0.64875253,178.36567
19.4475,0.96330843,0.64682181,175.44874
19.5342,0.96131143,0.644919,172.59103
19.621,0.95911954,0.64304367,169.79109
19.7078,0.95671857,0.6411954,167.04755
19.7945,0.95409473,0.63937376,164.35903
19.8813,0.95123532,0.63757833,161.72424
19.968,0.94812983,0.63580872,159.14188
20.0548,0.94477133,0.6340645,156.61072
20.1416,0.94115827,0.63234528,154.12955
20.2283,0.93729676,0.63065067,151.69718
20.3151,0.93320323,0.62898026,149.31248
20.4018,0.9289074,0.62733368,146.97434
20.4886,0.92445539,0.62571054,144.68166
20.5753,0.91991247,0.62411047,142.4334
20.6621,0.91536484,0.6225331,140.22852
20.7489,0.91091979,0.62097806,138.06604
20.8356,0.90670328,0.61944499,135.94498
20.9224,0.9028543,0.61793354,133.86439
21.0091,0.89951585,0.61644336,131.82335
21.0959,0.89682308,0.61497411,129.82097
21.1826,0.89488994,0.61352544,127.85638
21.2694,0.89379671,0.61209703,125.92871
21.3562,0.89358081,0.61068855,124.03716
21.4429,0.89423285,0.60929968,122.1809
21.5297,0.89569875,0.60793009,120.35915
21.6164,0.89788736,0.60657948,118.57115
21.7032,0.90068177,0.60524754,116.81616
21.79,0.90395191,0.60393396,115.09344
21.8767,0.90756632,0.60263846,113.40229
21.9635,0.91140152,0.60136074,111.74201
22.0502,0.91534839,0.60010051,110.11195
22.137,0.91931546,0.59885749,108.51143
22.2237,0.92322979,0.59763141,106.93982
22.3105,0.92703611,0.59642198,105.3965
22.3973,0.9306948,0.59522896,103.88087
22.484,0.93417951,0.59405206,102.39232
22.5708,0.93747454,0.59289103,100.93028
22.6575,0.94057255,0.59174562,99.49419
22.7443,0.94347242,0.59061558,98.083497
22.8311,0.94617753,0.58950066,96.697667
22.9178,0.9486944,0.58840062,95.336176
23.0046,0.95103157,0.58731523,93.998514
23.0913,0.95319881,0.58624425,92.684184
23.1781,0.95520646,0.58518746,91.392699
23.2648,0.95706506,0.58414462,90.123587
23.3516,0.95878497,0.58311552,88.876385
23.4384,0.96037622,0.58209994,87.650641
23.5251,0.96184838,0.58109767,86.445915
23.6119,0.96321041,0.5801085,85.261776
23.6986,0.96447072,0.57913223,84.097805
23.7854,0.96563711,0.57816864,82.953591
23.8721,0.96671674,0.57721755,81.828735
23.9589,0.96771626,0.57627876,80.722846
24.0457,0.96864171,0.57535207,79.635541
24.1324,0.96949867,0.57443731,78.566448
24.2192,0.9702922,0.57353428,77.515204
24.3059,0.97102695,0.5726428,76.481451
24.3927,0.97170713,0.5717627,75.464843
24.4795,0.97233662,0.5708938,74.465041
24.5662,0.97291891,0.57003592,73.481712
24.653,0.97345721,0.56918891,72.514533
24.7397,0.97395444,0.56835259,71.563186
24.8265,0.97441326,0.5675268,70.627364
24.9132,0.97483607,0.56671138,69.706762
25,0.9752251,0.56590617,68.801086
