wavelength_um,mirror_reflectance,sol_best_emitter_emissivity,planck_1300K_w_m2_um
2.128,0.99998866,0.23715963,47522.3
2.139,0.99999851,0.23754089,47575.414
2.15,0.99999974,0.23850419,47621.97
2.161,0.99999989,0.24003789,47662.083
2.172,0.99999993,0.24213471,47695.87
2.183,0.99999995,0.2447913,47723.447
2.194,0.99999995,0.24800805,47744.928
2.205,0.99999995,0.25178871,47760.43
2.216,0.99999993,0.25614027,47770.067
2.227,0.99999987,0.26107267,47773.955
2.238,0.99999959,0.26659864,47772.207
2.249,0.99994578,0.27273353,47764.938
2.26,0.9999995,0.27949508,47752.259
2.271,0.99999988,0.2869032,47734.285
2.282,0.99999995,0.29497978,47711.125
2.293,0.99999997,0.30374835,47682.892
2.304,0.99999997,0.3132338,47649.694
2.315,0.99999998,0.32346195,47611.642
2.326,0.99999998,0.33445906,47568.844
2.337,0.99999998,0.34625129,47521.406
2.348,0.99999997,0.35886395,47469.434
2.359,0.99999995,0.3723207,47413.035
2.37,0.99999989,0.38664254,47352.311
2.381,0.99999956,0.40184667,47287.367
2.392,0.99996991,0.41794514,47218.303
2.403,0.9999997,0.43494331,47145.22
2.414,0.99999991,0.45283815,47068.219
2.425,0.99999996,0.47161639,46987.396
2.436,0.99999997,0.49125243,46902.849
2.447,0.99999998,0.51170629,46814.674
2.458,0.99999998,0.53292143,46722.965
2.469,0.99999998,0.55482279,46627.815
2.48,0.99999998,0.5773149,46529.317
2.491,0.99999998,0.60028051,46427.561
2.502,0.99999998,0.6235797,46322.636
2.513,0.99999997,0.64704977,46214.63
2.524,0.99999995,0.67050614,46103.63
2.535,0.99999991,0.69374425,45989.722
2.546,0.99999976,0.71654285,45872.989
2.557,0.99999837,0.73866847,45753.514
2.568,0.99999401,0.75988112,45631.379
2.579,0.99999954,0.77994116,45506.664
2.59,0.99999983,0.79861678,45379.447
2.601,0.9999999,0.81569188,45249.806
2.612,0.99999993,0.83097384,45117.817
2.623,0.99999994,0.84430057,44983.555
2.634,0.99999995,0.85554632,44847.094
2.645,0.99999995,0.86462599,44708.505
2.656,0.99999995,0.8714974,44567.86
2.667,0.99999994,0.87616161,44425.229
2.678,0.99999993,0.87866118,44280.679
2.689,0.99999991,0.87907666,44134.278
2.7,0.99999988,0.87752171,43986.092
2.711,0.99999983,0.8741371,43836.186
2.722,0.99999975,0.86908428,43684.622
2.733,0.99999962,0.86253881,43531.464
2.744,0.99999941,0.85468406,43376.772
2.755,0.99999903,0.8457055,43220.606
2.766,0.99999816,0.83578578,43063.024
2.777,0.99999482,0.82510073,42904.085
2.788,0.99990714,0.81381623,42743.844
2.799,0.99998877,0.80208601,42582.357
