wavelength_um,reflectance,emissivity
1.27420363,0.5623357779,0.4376642221
1.277766957,0.5645405926,0.4354594074
1.281330283,0.5658222115,0.4341777885
1.28489361,0.5662021019,0.4337978981
1.288456936,0.5656971008,0.4343028992
1.292020263,0.5643196438,0.4356803562
1.295583589,0.5620780083,0.4379219917
1.299146916,0.5589765705,0.4410234295
1.302710242,0.5550160787,0.4449839213
1.306273569,0.550193947,0.449806053
1.309836895,0.5445045754,0.4554954246
1.313400222,0.5379397075,0.4620602925
1.316963548,0.530488834,0.469511166
1.320526875,0.5221396571,0.4778603429
1.324090201,0.5128786301,0.4871213699
1.327653528,0.5026915882,0.4973084118
1.331216854,0.4915644897,0.5084355103
1.334780181,0.4794842869,0.5205157131
1.338343507,0.466439946,0.533560054
1.341906834,0.4524236352,0.5475763648
1.34547016,0.437432099,0.562567901
1.349033487,0.4214682305,0.5785317695
1.352596813,0.4045428491,0.5954571509
1.35616014,0.3866766774,0.6133233226
1.359723466,0.3679025003,0.6320974997
1.363286793,0.3482674659,0.6517325341
1.366850119,0.3278354666,0.6721645334
1.370413446,0.3066895059,0.6933104941
1.373976772,0.284933924,0.715066076
1.377540099,0.2626963192,0.7373036808
1.381103425,0.2401289651,0.7598710349
1.384666752,0.2174094974,0.7825905026
1.388230078,0.1947406259,0.8052593741
1.391793404,0.1723486332,0.8276513668
1.395356731,0.1504804531,0.8495195469
1.398920057,0.1293991891,0.8706008109
1.402483384,0.109378036,0.890621964
1.40604671,0.09069270814,0.9093072919
1.409610037,0.07361263477,0.9263873652
1.413173363,0.05839135433,0.9416086457
1.41673669,0.04525668641,0.9547433136
1.420300016,0.03440136391,0.9655986361
1.423863343,0.02597484267,0.9740251573
1.427426669,0.02007695532,0.9799230447
1.430989996,0.01675393968,0.9832460603
1.434553322,0.01599716414,0.9840028359
1.438116649,0.01774462089,0.9822553791
1.441679975,0.02188500052,0.9781149995
1.445243302,0.02826393546,0.9717360645
1.448806628,0.03669183608,0.9633081639
1.452369955,0.04695265893,0.9530473411
1.455933281,0.05881294456,0.9411870554
1.459496608,0.07203053042,0.9279694696
1.463059934,0.08636246317,0.9136375368
1.466623261,0.1015717789,0.8984282211
1.470186587,0.1174329668,0.8825670332
1.473749914,0.1337360662,0.8662639338
1.47731324,0.1502894499,0.8497105501
1.480876567,0.1669214269,0.8330785731
1.484439893,0.18348084,0.81651916
1.48800322,0.1998368541,0.8001631459
1.491566546,0.2158781286,0.7841218714
1.495129873,0.231511556,0.768488444
1.498693199,0.2466607194,0.7533392806
1.502256526,0.2612641999,0.7387358001
1.505819852,0.2752738342,0.7247261658
1.509383179,0.2886529982,0.7113470018
1.512946505,0.3013749703,0.6986250297
1.516509832,0.3134214091,0.6865785909
1.520073158,0.3247809658,0.6752190342
1.523636485,0.3354480407,0.6645519593
1.527199811,0.3454216838,0.6545783162
1.530763137,0.3547046353,0.6452953647
1.534326464,0.3633024969,0.6366975031
1.53788979,0.3712230232,0.6287769768
1.541453117,0.3784755222,0.6215244778
1.545016443,0.385070351,0.614929649
1.54857977,0.3910184975,0.6089815025
1.552143096,0.3963312347,0.6036687653
1.555706423,0.4010198398,0.5989801602
1.559269749,0.4050953675,0.5949046325
1.562833076,0.4085684703,0.5914315297
1.566396402,0.4114492585,0.5885507415
1.569959729,0.4137471942,0.5862528058
1.573523055,0.4154710146,0.5845289854
1.577086382,0.4166286796,0.5833713204
1.580649708,0.4172273407,0.5827726593
1.584213035,0.4172733284,0.5827266716
1.587776361,0.4167721558,0.5832278442
1.591339688,0.4157285374,0.5842714626
1.594903014,0.4141464206,0.5858535794
1.598466341,0.4120290304,0.5879709696
1.602029667,0.4093789265,0.5906210735
1.605592994,0.406198073,0.593801927
1.60915632,0.4024879205,0.5975120795
1.612719647,0.3982495021,0.6017504979
1.616282973,0.3934835435,0.6065164565
1.6198463,0.3881905885,0.6118094115
1.623409626,0.3823711417,0.6176288583
1.626972953,0.3760258289,0.6239741711
1.630536279,0.3691555777,0.6308444223
1.634099606,0.3617618206,0.6382381794
1.637662932,0.3538467201,0.6461532799
1.641226259,0.3454134203,0.6545865797
1.644789585,0.3364663243,0.6635336757
1.648352912,0.3270114007,0.6729885993
1.651916238,0.3170565176,0.6829434824
1.655479565,0.3066118075,0.6933881925
1.659042891,0.2956900597,0.7043099403
1.662606218,0.2843071409,0.7156928591
1.666169544,0.2724824397,0.7275175603
1.669732871,0.2602393322,0.7397606678
1.673296197,0.2476056601,0.7523943399
1.676859523,0.2346142159,0.7653857841
1.68042285,0.2213032214,0.7786967786
1.683986176,0.2077167872,0.7922832128
1.687549503,0.1939053355,0.8060946645
1.691112829,0.1799259677,0.8200740323
1.694676156,0.1658427518,0.8341572482
1.698239482,0.1517269058,0.8482730942
1.701802809,0.1376568489,0.8623431511
1.705366135,0.1237180912,0.8762819088
1.708929462,0.1100029344,0.8899970656
1.712492788,0.09660995633,0.9033900437
1.716056115,0.08364325564,0.9163567444
1.719619441,0.07121144237,0.9287885576
1.723182768,0.05942636461,0.9405736354
1.726746094,0.04840157598,0.951598424
1.730309421,0.0382505605,0.9617494395
1.733872747,0.02908474684,0.9709152532
1.737436074,0.02101135977,0.9789886402
1.7409994,0.01413117172,0.9858688283
1.744562727,0.008536231008,0.991463769
1.748126053,0.004307653726,0.9956923463
1.75168938,0.001513571853,0.9984864281
1.755252706,0.0002073304323,0.9997926696
1.758816033,0.0004260203803,0.9995739796
1.762379359,0.002189420955,0.997810579
1.765942686,0.005499407566,0.9945005924
1.769506012,0.01033985768,0.9896601423
1.773069339,0.01667706189,0.9833229381
1.776632665,0.02446062082,0.9755393792
1.780195992,0.03362478367,0.9663752163
1.783759318,0.04409016284,0.9559098372
1.787322645,0.05576574287,0.9442342571
1.790885971,0.06855109192,0.9314489081
1.794449298,0.08233868048,0.9176613195
