# frame, leg, t, axis x, axis y, axis z, best n, diff %
83, 0, 0.9222, 0.332674, -0.043922, -0.942019, 2, 70.5163
84, 0, 0.9333, 0.336177, -0.037652, -0.941046, 2, 69.8225
85, 0, 0.9444, 0.339663, -0.031380, -0.940023, 2, 68.3891
86, 0, 0.9556, 0.343131, -0.025106, -0.938952, 2, 67.1750
87, 0, 0.9667, 0.346582, -0.018830, -0.937831, 2, 65.9645
88, 0, 0.9778, 0.350014, -0.012554, -0.936661, 3, 60.0345
89, 0, 0.9889, 0.353427, -0.006277, -0.935441, 3, 44.3013
90, 1, 0.0000, 0.356822, 0.000000, -0.934172, 3, 0.0000
91, 1, 0.0111, 0.358713, -0.003511, -0.933441, 3, 33.3708
92, 1, 0.0222, 0.360597, -0.007022, -0.932695, 3, 48.9847
93, 1, 0.0333, 0.362476, -0.010532, -0.931933, 3, 57.3092
94, 1, 0.0444, 0.364349, -0.014043, -0.931157, 2, 62.0419
95, 1, 0.0556, 0.366216, -0.017553, -0.930364, 2, 63.2056
96, 1, 0.0667, 0.368077, -0.021063, -0.929557, 2, 64.6124
97, 1, 0.0778, 0.369932, -0.024573, -0.928734, 2, 66.1854
98, 1, 0.0889, 0.371780, -0.028082, -0.927896, 2, 66.5247
99, 1, 0.1000, 0.373623, -0.031591, -0.927042, 2, 68.0626
100, 1, 0.1111, 0.375460, -0.035099, -0.926174, 2, 68.5488
101, 1, 0.1222, 0.377290, -0.038607, -0.925290, 2, 70.4053
102, 1, 0.1333, 0.379114, -0.042114, -0.924391, 2, 71.4127
103, 1, 0.1444, 0.380932, -0.045621, -0.923477, 2, 71.8195
104, 1, 0.1556, 0.382744, -0.049126, -0.922548, 2, 71.7490
105, 1, 0.1667, 0.384549, -0.052631, -0.921603, 2, 71.7076
106, 1, 0.1778, 0.386348, -0.056135, -0.920643, 2, 71.3555
107, 1, 0.1889, 0.388141, -0.059638, -0.919669, 2, 71.3679
108, 1, 0.2000, 0.389927, -0.063140, -0.918679, 2, 71.0947
109, 1, 0.2111, 0.391707, -0.066641, -0.917674, 2, 71.0631
110, 1, 0.2222, 0.393480, -0.070141, -0.916653, 2, 71.3052
111, 1, 0.2333, 0.395247, -0.073640, -0.915618, 2, 71.3536
112, 1, 0.2444, 0.397008, -0.077138, -0.914568, 2, 71.6760
113, 1, 0.2556, 0.398761, -0.080634, -0.913503, 2, 71.8895
114, 1, 0.2667, 0.400509, -0.084129, -0.912423, 2, 72.4172
115, 1, 0.2778, 0.402250, -0.087622, -0.911327, 2, 72.3457
116, 1, 0.2889, 0.403984, -0.091115, -0.910217, 2, 71.8752
117, 1, 0.3000, 0.405711, -0.094605, -0.909092, 2, 72.0957
118, 1, 0.3111, 0.407432, -0.098094, -0.907952, 2, 71.9556
119, 1, 0.3222, 0.409147, -0.101582, -0.906797, 2, 72.3215
120, 1, 0.3333, 0.410854, -0.105068, -0.905627, 2, 72.7258
121, 1, 0.3444, 0.412555, -0.108552, -0.904442, 2, 72.9541
122, 1, 0.3556, 0.414249, -0.112034, -0.903242, 2, 72.9867
123, 1, 0.3667, 0.415936, -0.115515, -0.902028, 2, 72.6519
124, 1, 0.3778, 0.417616, -0.118993, -0.900798, 2, 72.8757
125, 1, 0.3889, 0.419290, -0.122470, -0.899554, 2, 72.8052
126, 1, 0.4000, 0.420956, -0.125944, -0.898295, 2, 72.7520
127, 1, 0.4111, 0.422616, -0.129417, -0.897021, 2, 73.2342
