inner,mid,zoom,rx,ry,rz,level,faces,pents,chi,coords,mantissa_ones,density,powers_of_two,short_tail,worst,ink,l_entropy,distinct,net_digest,image,netfile
0.28,0.28,180,0,0,0,3,10292,12,2,185220,4734462,0.491563,2136,0,37,0.244797,1.751194,395,d634d7f430c31453,img_i0.28_m0.28_v0.png,net_i0.28_m0.28_lv3.gosnet
0.28,0.28,260,0.35,0.6,0,3,10292,12,2,185220,4734462,0.491563,2136,0,37,0.425466,3.772421,1201,d634d7f430c31453,img_i0.28_m0.28_v1.png,net_i0.28_m0.28_lv3.gosnet
0.28,0.28,420,0.9,1.2,0.3,3,10292,12,2,185220,4734462,0.491563,2136,0,37,0.241289,2.090204,820,d634d7f430c31453,img_i0.28_m0.28_v2.png,net_i0.28_m0.28_lv3.gosnet
0.28,0.28,760,0.35,2.4,0,3,10292,12,2,185220,4734462,0.491563,2136,0,37,0.113621,0.961068,321,d634d7f430c31453,img_i0.28_m0.28_v3.png,net_i0.28_m0.28_lv3.gosnet
0.28,0.50,180,0,0,0,3,10292,12,2,185220,4720316,0.490095,2136,0,39,0.266418,1.988390,423,f69f54f6d4353825,img_i0.28_m0.50_v0.png,net_i0.28_m0.50_lv3.gosnet
0.28,0.50,260,0.35,0.6,0,3,10292,12,2,185220,4720316,0.490095,2136,0,39,0.466877,4.110083,1226,f69f54f6d4353825,img_i0.28_m0.50_v1.png,net_i0.28_m0.50_lv3.gosnet
0.28,0.50,420,0.9,1.2,0.3,3,10292,12,2,185220,4720316,0.490095,2136,0,39,0.277119,2.386614,827,f69f54f6d4353825,img_i0.28_m0.50_v2.png,net_i0.28_m0.50_lv3.gosnet
0.28,0.50,760,0.35,2.4,0,3,10292,12,2,185220,4720316,0.490095,2136,0,39,0.140874,1.157710,332,f69f54f6d4353825,img_i0.28_m0.50_v3.png,net_i0.28_m0.50_lv3.gosnet
0.28,0.73,180,0,0,0,3,10292,12,2,185220,4737158,0.491843,2136,0,39,0.269719,2.046921,425,d0451fabf511dbf9,img_i0.28_m0.73_v0.png,net_i0.28_m0.73_lv3.gosnet
0.28,0.73,260,0.35,0.6,0,3,10292,12,2,185220,4737158,0.491843,2136,0,39,0.471575,4.177269,1252,d0451fabf511dbf9,img_i0.28_m0.73_v1.png,net_i0.28_m0.73_lv3.gosnet
0.28,0.73,420,0.9,1.2,0.3,3,10292,12,2,185220,4737158,0.491843,2136,0,39,0.281311,2.471921,888,d0451fabf511dbf9,img_i0.28_m0.73_v2.png,net_i0.28_m0.73_lv3.gosnet
0.28,0.73,760,0.35,2.4,0,3,10292,12,2,185220,4737158,0.491843,2136,0,39,0.150166,1.258686,378,d0451fabf511dbf9,img_i0.28_m0.73_v3.png,net_i0.28_m0.73_lv3.gosnet
0.28,0.95,180,0,0,0,3,10292,12,2,185220,4721908,0.490260,2136,0,39,0.309275,2.303268,454,2bb70cef7f83311f,img_i0.28_m0.95_v0.png,net_i0.28_m0.95_lv3.gosnet
0.28,0.95,260,0.35,0.6,0,3,10292,12,2,185220,4721908,0.490260,2136,0,39,0.547856,4.666965,1268,2bb70cef7f83311f,img_i0.28_m0.95_v1.png,net_i0.28_m0.95_lv3.gosnet
0.28,0.95,420,0.9,1.2,0.3,3,10292,12,2,185220,4721908,0.490260,2136,0,39,0.349243,2.866964,905,2bb70cef7f83311f,img_i0.28_m0.95_v2.png,net_i0.28_m0.95_lv3.gosnet
0.28,0.95,760,0.35,2.4,0,3,10292,12,2,185220,4721908,0.490260,2136,0,39,0.192930,1.484444,423,2bb70cef7f83311f,img_i0.28_m0.95_v3.png,net_i0.28_m0.95_lv3.gosnet
0.50,0.05,180,0,0,0,3,10292,12,2,185220,4709752,0.488998,2032,0,40,0.339138,2.461101,464,0a7ad3eef18ded5f,img_i0.50_m0.05_v0.png,net_i0.50_m0.05_lv3.gosnet
0.50,0.05,260,0.35,0.6,0,3,10292,12,2,185220,4709752,0.488998,2032,0,40,0.583777,4.857961,1540,0a7ad3eef18ded5f,img_i0.50_m0.05_v1.png,net_i0.50_m0.05_lv3.gosnet
0.50,0.05,420,0.9,1.2,0.3,3,10292,12,2,185220,4709752,0.488998,2032,0,40,0.388789,3.070412,948,0a7ad3eef18ded5f,img_i0.50_m0.05_v2.png,net_i0.50_m0.05_lv3.gosnet
0.50,0.05,760,0.35,2.4,0,3,10292,12,2,185220,4709752,0.488998,2032,0,40,0.212849,1.549151,357,0a7ad3eef18ded5f,img_i0.50_m0.05_v3.png,net_i0.50_m0.05_lv3.gosnet
0.50,0.28,180,0,0,0,3,10292,12,2,185220,4759146,0.494126,2032,0,39,0.322039,2.353392,474,46a8a8f177a08dbb,img_i0.50_m0.28_v0.png,net_i0.50_m0.28_lv3.gosnet
0.50,0.28,260,0.35,0.6,0,3,10292,12,2,185220,4759146,0.494126,2032,0,39,0.547773,4.594310,1364,46a8a8f177a08dbb,img_i0.50_m0.28_v1.png,net_i0.50_m0.28_lv3.gosnet
0.50,0.28,420,0.9,1.2,0.3,3,10292,12,2,185220,4759146,0.494126,2032,0,39,0.336528,2.703423,867,46a8a8f177a08dbb,img_i0.50_m0.28_v2.png,net_i0.50_m0.28_lv3.gosnet
